Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00036726,0.0001156,0.022489,0,0,0,0.093638,0.00012547,-2.5159E-08,1.5661E-06,0.00013089,-1.4418E-07,0.00020147,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/base_link.STL,,NATHANbase-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.002243,0.0075762,0.018765,0,0,0,0.072312,4.9568E-05,-1.5508E-06,-6.3994E-06,6.2445E-05,-6.7489E-06,5.6938E-05,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/link_1.STL,,NATHANwaist-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,0,0,0.056,0,0,-0.26189,base_link,0,0,1,5,0,0,2,,,,,,,,
link_2,-0.00012948,-0.0043336,0.059294,0,0,0,0.056532,9.4195E-05,-3.005E-10,-1.4691E-09,9.7021E-05,-3.0019E-10,7.2804E-06,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/link_2.STL,,NATHANarm1-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,0.013919,0,0.040276,0,-0.49165,0,link_1,0,1,0,5,0,0,2,,,,,,,,
link_3,0.03808,0.013781,-0.00091995,0,0,0,0.05696,1.1086E-05,-9.9972E-07,1.4846E-06,6.7149E-05,5.5761E-08,6.3613E-05,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/link_3.STL,,NATHANarm02-1,Origin_joint_3,Axis_joint_3,joint_3,revolute,0,0,0.12,-0.0085366,-0.072864,-0.0012933,link_2,0.0012899,-0.99996,-0.0086307,0,0,0,2,,,,,,,,
link_4,0.029998,-0.0057413,0.0048155,0,0,0,0.018176,2.8956E-06,6.016E-07,1.9471E-08,5.3577E-06,-1.8766E-08,4.262E-06,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/link_4.STL,,NATHANarm3-1,Origin_joint_4,Axis_joint_4,joint_4,revolute,0.077872,0.013612,-0.0072246,0.00023545,0.017066,0.0012724,link_3,0.99996,0.0002412,-0.0091073,5,0,0,2,,,,,,,,
gripper_base_link,0.023551,-0.014074,0.0056942,0,0,0,0.015721,2.5605E-06,-1.4166E-06,-1.3765E-06,7.2536E-06,-3.5787E-07,8.1096E-06,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/gripper_base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/gripper_base_link.STL,,Gripper base-1,Origin_gripper_base_joint,Axis_gripper_base_joint,gripper_base_joint,revolute,0.039739,5.0229E-05,0.0046381,-0.025359,1.0602,-0.014195,link_4,0,0.99996,0.0087265,5,0,0,2,,,,,,,,
left_gear_link,0.0056831,-0.00040658,0.016,0,0,0,0.0025659,9.0729E-08,-1.9117E-08,2.1722E-19,3.6228E-07,-4.5607E-20,4.4616E-07,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/left_gear_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/left_gear_link.STL,,gear2-1,Origin_left_gear_joint,Axis_left_gear_joint,left_gear_joint,revolute,0.038,0.0018999,1.658E-05,0.0087219,-0.00028924,0.033149,gripper_base_link,0,0,1,5,0,0,2,,,,,,,,
left_finger_link,0.026893,0.0045131,-0.0042469,0,0,0,0.0053975,1.8308E-07,-3.7341E-07,-6.5545E-12,1.5958E-06,1.2621E-11,1.7139E-06,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/left_finger_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/left_finger_link.STL,,Gripper 1-1,Origin_left_finger_joint,Axis2 <gear2-1>,left_finger_joint,revolute,0.030728,0.0010745,0.013997,0,0,-0.4368,left_gear_link,0,0,0,5,0,0,2,,,,,,,,
right_gear_link,0.0055788,0.00060197,0.016,0,0,0,0.0026416,9.0046E-08,9.2574E-09,4.4469E-21,3.6424E-07,-3.7286E-20,4.4724E-07,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/right_gear_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/right_gear_link.STL,,gear1-1,Origin_right_gear_joint,Axis_right_gear_joint,right_gear_joint,revolute,0.038,-0.024999,-0.00021816,0.0087077,0.00057486,-0.06592,gripper_base_link,0,0,1,5,0,0,2,,,,,,,,
right_finger_link,0.026893,0.0045131,-0.0042469,0,0,0,0.0053975,1.8308E-07,-3.7341E-07,-6.6286E-12,1.5958E-06,1.2817E-11,1.7139E-06,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/right_finger_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://mobile_arm_bot_2/meshes/right_finger_link.STL,,Gripper 1-3,Origin_right_finger_joint,Axis2 <gear1-1>,right_finger_joint,revolute,0.030747,0,0.0055031,-3.1416,0,0.46391,right_gear_link,0,0,0,5,0,0,2,,,,,,,,
